Up, Down, Left, Right
45.15,49.97,45.15,49.97
49.97,55.30,45.15,55.28
55.28,61.18,49.97,61.11
61.11,67.63,55.28,67.29
67.04,74.49,61.11,61.00
61.11,67.63,67.29,55.28
55.28,61.18,61.11,49.97
49.97,55.30,55.28,45.15
45.15,49.97,49.97,45.15
45.15,55.28,49.97,55.30
49.97,61.18,49.97,61.18
55.28,67.67,55.30,67.63
61.11,74.79,61.18,74.49
67.29,82.40,67.63,67.63
61.11,74.79,74.49,61.18
55.28,67.67,67.63,55.30
49.97,61.18,61.18,49.97
45.15,55.28,55.30,49.97
49.97,61.11,55.28,61.18
55.30,67.63,55.28,67.67
61.18,74.79,61.18,74.79
67.63,82.61,67.67,82.40
74.49,91.00,74.79,74.79
67.63,82.61,82.40,67.67
61.18,74.79,74.79,61.18
55.30,67.63,67.67,55.28
49.97,61.11,61.18,55.28
55.28,67.29,61.11,67.63
61.18,74.49,61.11,74.79
67.67,82.40,67.63,82.61
74.79,91.00,74.79,91.00
82.40,100.00,82.61,82.61
74.79,91.00,91.00,74.79
67.67,82.40,82.61,67.63
61.18,74.49,74.79,61.11
55.28,67.29,67.63,61.11
61.11,61.11,67.29,74.49
67.63,67.63,67.29,82.40
74.79,74.79,74.49,91.00
82.61,82.61,82.40,100.00
0.00,0.00,0.00,0.00
82.61,82.61,100.00,82.40
74.79,74.79,91.00,74.49
67.63,67.63,82.40,67.29
61.11,61.11,74.49,67.29
67.29,55.28,61.11,67.63
74.49,61.18,61.11,74.79
82.40,67.67,67.63,82.61
91.00,74.79,74.79,91.00
100.00,82.40,82.61,82.61
91.00,74.79,91.00,74.79
82.40,67.67,82.61,67.63
74.49,61.18,74.79,61.11
67.29,55.28,67.63,61.11
61.11,49.97,55.28,61.18
67.63,55.30,55.28,67.67
74.79,61.18,61.18,74.79
82.61,67.63,67.67,82.40
91.00,74.49,74.79,74.79
82.61,67.63,82.40,67.67
74.79,61.18,74.79,61.18
67.63,55.30,67.67,55.28
61.11,49.97,61.18,55.28
55.28,45.15,49.97,55.30
61.18,49.97,49.97,61.18
67.67,55.28,55.30,67.63
74.79,61.11,61.18,74.49
82.40,67.29,67.63,67.63
74.79,61.11,74.49,61.18
67.67,55.28,67.63,55.30
61.18,49.97,61.18,49.97
55.28,45.15,55.30,49.97
49.97,45.15,45.15,49.97
55.30,49.97,45.15,55.28
61.18,55.28,49.97,61.11
67.63,61.11,55.28,67.29
74.49,66.93,60.94,60.88
67.63,61.11,67.29,55.28
61.18,55.28,61.11,49.97
55.30,49.97,55.28,45.15
49.97,45.15,49.97,45.15
